,Final_CFU_Acc_Portion_mean,Prevalence_Acc_Mean,Prevalence_Comparison,MeanComparison,Cont_Spread,Sampling_Plan,Baseline_Scenario
0,6161.0,1.80299999999997e-05,1.0,1.0,1% Cluster,Baseline,No Precooling
1,5869.0,1.674499999999981e-05,0.9287298946200826,0.9526050965752313,1% Cluster,PHS4D,No Precooling
2,5652.0,1.6474999999999757e-05,0.9137548530227416,0.9173835416328519,1% Cluster,PHS4H,No Precooling
3,4304.0,1.267499999999987e-05,0.702995008319472,0.6985878915760428,1% Cluster,PHSInt,No Precooling
4,5757.0,1.6694999999999765e-05,0.9259567387687212,0.9344262295081968,1% Cluster,HTrad,No Precooling
5,5832.0,1.708499999999974e-05,0.9475873544093191,0.9465995779905859,1% Cluster,RSTrad,No Precooling
6,6216.0,1.845999999999973e-05,1.023849140321688,1.0089271222204188,1% Cluster,FPSTrad,No Precooling
7,6205.0,1.8119999999999735e-05,1.004991680532448,1.007141697776335,1% Cluster,CS,No Precooling
0,7113.0,2.0119999999999706e-05,1.0,1.0,10% Cluster,Baseline,No Precooling
1,5386.0,1.538499999999982e-05,0.7646620278330042,0.7572051173906931,10% Cluster,PHS4D,No Precooling
2,6235.0,1.7714999999999714e-05,0.8804671968190841,0.8765640376774919,10% Cluster,PHS4H,No Precooling
3,4500.0,1.3109999999999863e-05,0.6515904572564639,0.6326444538169549,10% Cluster,PHSInt,No Precooling
4,6474.0,1.820999999999971e-05,0.9050695825049689,0.9101644875579924,10% Cluster,HTrad,No Precooling
5,6216.0,1.763499999999972e-05,0.8764910536779312,0.8738928722058203,10% Cluster,RSTrad,No Precooling
6,7175.0,1.9164999999999695e-05,0.9525347912524839,1.0087164346970336,10% Cluster,FPSTrad,No Precooling
7,6998.0,1.9984999999999694e-05,0.9932902584493035,0.9838324195135667,10% Cluster,CS,No Precooling
